row_id,generation,framework,domain,model,claimed_threshold,claimed_n,claimed_score,claimed_uncertainty,claimed_direction,citation,source_id,source_resolves,cited_locator,value_status,note,coder,date
O29,post2025,OpenAI,Bio TroubleshootingBench,GPT-5.6 (Sol),80th-pct expert = 36.4%,156 (52×3),48.0%,none,above (High),GPT-5.6 card,openai-gpt-5-6-preview-system-card-25-jun-2026,Y,GPT-5.6 Preview System Card §9.1.1.x,confirmed,"virology 55.5%, ProtocolQA 43.5%, tacit 84.1%, TSB 48.0%, AAV 0.529 vs 0.600, hard-neg & DNA below — all confirmed.",agent+source,2026-07-10
O30,post2025,OpenAI,Bio AAV capsid packaging (Critical),GPT-5.6 (Sol),0.600 Spearman corr.,(dataset),0.529 (correlation),none,below Critical,GPT-5.6 card,openai-gpt-5-6-preview-system-card-25-jun-2026,Y,GPT-5.6 Preview System Card §9.1.1.x,confirmed,"virology 55.5%, ProtocolQA 43.5%, tacit 84.1%, TSB 48.0%, AAV 0.529 vs 0.600, hard-neg & DNA below — all confirmed.",agent+source,2026-07-10
O31,post2025,OpenAI,Bio hard-neg protein binding (Critical),GPT-5.6,30% (expert-informed),43 targets / 492 hotspots,below (not stated),none,below Critical,GPT-5.6 card,openai-gpt-5-6-preview-system-card-25-jun-2026,Y,GPT-5.6 Preview System Card §9.1.1.x,confirmed,"virology 55.5%, ProtocolQA 43.5%, tacit 84.1%, TSB 48.0%, AAV 0.529 vs 0.600, hard-neg & DNA below — all confirmed.",agent+source,2026-07-10
O32,post2025,OpenAI,Bio DNA design (Critical),GPT-5.6,90% win-rate vs Ledidi,11 TF × 50 prompts,below (not stated),none,below Critical,GPT-5.6 card,openai-gpt-5-6-preview-system-card-25-jun-2026,Y,GPT-5.6 Preview System Card §9.1.1.x,confirmed,"virology 55.5%, ProtocolQA 43.5%, tacit 84.1%, TSB 48.0%, AAV 0.529 vs 0.600, hard-neg & DNA below — all confirmed.",agent+source,2026-07-10
A28,post2025,Anthropic,Autonomy SWE-bench hard,Opus 4.5,>50% avg / 10 trials,45 problems,21/45,none,below (audited row),4.5 card §7.3.1 p.134,claude-opus-4-5-system-card-nov-2025,Y,§7.3.1 p.134,confirmed,21/45; thr >50% over 10 trials on 45.,agent+source,2026-07-10
A29,post2025,Anthropic,Autonomy SWE-bench hard,Opus 4.6,>50% / 10 trials,45,21.24/45 (mean),none,below (no integer count),4.6 card §8.3.2 p.187,claude-opus-4-6-system-card-feb-2026,Y,§8.3.2 p.187-188,confirmed_note,Confirmed as a NON-integer mean: 'solving on average 21.24 out of 45 problems ... below the 50% threshold of 22.5'. Correctly excluded from the auditable evals.csv (no integer pass count).,agent+source,2026-07-10
A30,post2025,Anthropic,Autonomy AI-R&D AECI trajectory,Opus 4.7,within error bars of ~13.6/yr slope,8 frontier pts,+1.0 above line,error bars,below,4.7 card §2.3.7 p.42,claude-opus-4-7-system-card-apr-2026,Y,§2.3.7 p.42,confirmed,+1.0 AECI above ~13.6/yr slope (n=8); 95% CI error bars.,agent+source,2026-07-10
A31,post2025,Anthropic,Autonomy AI-R&D AECI trajectory,Opus 4.8,no sustained AI-attributable 2×,11 pts,AECI 155.5,none,below,4.8 card §2.3.4 p.42,claude-opus-4-8-system-card-may-2026,Y,§2.3.4-2.3.5 p.42-44,confirmed_note,"n=11 and AECI 155.5 confirmed; the phrase 'no sustained AI-attributable 2×' is an interpretive gloss, not verbatim in the cited section (which says 'does not cross the automated AI-R&D capability threshold'). Recommend softening/re-citing.",agent+source,2026-07-10
A32,post2025,Anthropic,CBRN DNA-synth screening evasion,Opus 4.8,≥1 pathogen (NOT used for RSP),10 pathogens,7/10 evaded,none,(excluded from RSP call),4.8 card §2.2.6 p.28,claude-opus-4-8-system-card-may-2026,Y,§2.2.6 p.29,confirmed,7/10 pathogens evaded; not used for RSP determination.,agent+source,2026-07-10
A33,post2025,Anthropic,CBRN short-horizon comp-bio,Opus 4.5,per-task lower/upper bound,6 tasks,3/6 crossed rule-out,none,below,4.5 card §7.2.4.6 p.128,claude-opus-4-5-system-card-nov-2025,Y,§7.2.4.6 p.128,confirmed,3/6 crossed rule-out.,agent+source,2026-07-10
A34,post2025,Anthropic,CBRN long-form virology t1/t2,Opus 4.5,rule-out <50% / rule-in >80%,NOT REPORTED,max@5 0.845 / pass@5 0.912,none (figure),rule-in zone,4.5 card §7.2.4.1 p.122,claude-opus-4-5-system-card-nov-2025,Y,§7.2.4.1 p.122,confirmed,max@5 0.845 / pass@5 0.912.,agent+source,2026-07-10
D14,post2025,DeepMind,Cyber key-skills v1 (hard),Gemini 3 Pro,"alert threshold (prose, no number)",12,11/12,none,alert met,FSF Report p.9,deepmind-gemini-3-pro-fsf-report-nov-2025,Y,Gemini 3 Pro FSF Report,confirmed,"key-skills 11/12 & 0/13, harmful-manipulation 610 (421/189) sig — confirmed.",agent+source,2026-07-10
D15,post2025,DeepMind,Cyber key-skills v2 (end-to-end),Gemini 3 Pro,prose,13,0/13,none,below,FSF Report p.9,deepmind-gemini-3-pro-fsf-report-nov-2025,Y,Gemini 3 Pro FSF Report,confirmed,"key-skills 11/12 & 0/13, harmful-manipulation 610 (421/189) sig — confirmed.",agent+source,2026-07-10
D16,post2025,DeepMind,Misalignment situational awareness,Gemini 3 Pro,Instr. Reasoning (no accept. criteria),11 (50 attempts ea.),"norm. scores, ≈Gemini 2.5 w/ few upticks (no pass count)",none (figure),below CCL,FSF Report p.16,deepmind-gemini-3-pro-fsf-report-nov-2025,Y,FSF report p.16,confirmed,"CORRECTED 2026-07-10: original census cell '3/11' was not supported (the FSF report gives continuous normalized scores over 11 evals at 50 attempts each, ~Gemini 2.5 with a few upticks, no pass count, exploratory/no acceptance criteria). Cell now reflects the source.",agent+source,2026-07-10
D17,post2025,DeepMind,Misalignment stealth,Gemini 3 Pro,"prose (exploratory, no criteria)",4 (50 attempts ea.),"norm. scores 0–100, ≈Gemini 2.5 exc. Oversight Pattern (no pass count)",none (figure),below CCL,FSF Report p.17 Fig 5,deepmind-gemini-3-pro-fsf-report-nov-2025,Y,FSF report p.17 Fig 5,confirmed,"CORRECTED 2026-07-10: original census cell '1/4' was not supported (Fig 5 gives normalized 0-100 scores over 4 evals at 50 attempts, ~Gemini 2.5 except Oversight Pattern lower, no pass count). Cell now reflects the source.",agent+source,2026-07-10
D18,post2025,DeepMind,ML R&D RE-Bench,Gemini 3 Pro,Accel/Auto L1 (prose),"7 tasks, 24 runs",human-norm 1.04,95% CI (Fig 4),below CCL,FSF Report p.13,deepmind-gemini-3-pro-fsf-report-nov-2025,Y,"FSF report Fig 4, p.15",confirmed_note,"7 tasks / 24 runs / 95% CI and 'below alert threshold' all confirmed; but the specific aggregate 1.04 is printed in the Gemini 3.1 model card, not the FSF report — re-cite the 1.04 to the 3.1 card.",agent+source,2026-07-10
D19,post2025,DeepMind,Harmful manipulation,Gemini 3 Pro,"Level 1 (prose, exploratory)",610 (adv 421 / ctrl 189),odds ratio (sig.),"""sig."" no CI value",above non-AI baseline,FSF Report p.11,deepmind-gemini-3-pro-fsf-report-nov-2025,Y,Gemini 3 Pro FSF Report,confirmed,"key-skills 11/12 & 0/13, harmful-manipulation 610 (421/189) sig — confirmed.",agent+source,2026-07-10
D20,post2025,DeepMind,Harmful manipulation,Gemini 3.1 Pro,prose,NOT REPORTED,odds ratio 3.6×,none,≈ 3 Pro,3.1 card p.8,deepmind-gemini-3-1-pro-model-card-feb-2026,Y,Gemini 3.1 Pro Model Card p.8,confirmed,"harmful-manip odds ratio 3.6×, RE-Bench 1.27 — confirmed.",agent+source,2026-07-10
D21,post2025,DeepMind,ML R&D RE-Bench,Gemini 3.1 Pro,prose,NOT REPORTED,human-norm 1.27,none,below CCL,3.1 card p.8,deepmind-gemini-3-1-pro-model-card-feb-2026,Y,Gemini 3.1 Pro Model Card p.8,confirmed,"harmful-manip odds ratio 3.6×, RE-Bench 1.27 — confirmed.",agent+source,2026-07-10
